scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
6,TWFE,0.1548012404798875,-0.1250568629227263,0.2798581034026138,0.373020425131376,0.4324608778350961,0.1288839991994589,2000.0,500,default
7,DML-Chang,-1.0824271169529311,-0.922223943197674,-0.1602031737552572,0.6612894871387799,0.981,0.6637187309963622,2000.0,500,default
7,TWFE,-0.7590082786649032,-0.922223943197674,0.1632156645327707,0.2399890915465971,0.976,0.2681991405506626,2000.0,500,default
8,DML-Chang,-0.3369632344876286,-0.5723211915451745,0.2353579570575458,0.7411562828965976,0.9665,0.805589902039933,2000.0,500,default
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.1149197467797753,0.2301947037105442,0.991,0.2969043433749198,2000.0,500,default
9,DML-Multi,-1.173753571876175,-1.1952121301079364,0.0214585582317621,0.2415570088121116,0.9965069562564656,,2000.0,500,default
9,TWFE,-0.6434312940354748,-1.1952121301079364,0.5517808360724618,0.5958424891252864,0.1052314605830895,0.1357984427914396,2000.0,500,default
10,DML-Chang,0.0500053012147713,0.0399087561024491,0.0100965451123221,0.5683320595064398,0.99,0.6706066577052704,2000.0,500,default
10,TWFE,0.0395080201486072,0.0399087561024491,-0.0004007359538419,0.1466775915285263,0.9905,0.1884944000020908,2000.0,500,default
11,DML-Chang,0.0495805591911112,0.0514819602080599,-0.0019014010169487,0.6355606544126505,0.9885,0.7226157046905292,2000.0,500,default
11,TWFE,0.1941576172704222,0.0514819602080599,0.1426756570623622,0.2102786845887154,0.9355,0.1953845476492851,2000.0,500,default
12,DML-Chang,-0.31550567173769,-0.6247205015109475,0.3092148297732575,0.7893753498485875,0.956,0.8082545688452047,2000.0,500,default
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.1177122022033809,0.2334674847709252,0.948,0.2363806029435987,2000.0,500,default
1,DML-Chang,0.1252371421350592,0.1176594831503627,0.0075776589846964,0.8761492558740089,0.977,0.8816976708587565,2000.0,500,heavy
1,TWFE,0.1171136224740624,0.1176594831503627,-0.0005458606763003,0.136187588216797,0.999,0.2459251464930759,2000.0,500,heavy
